Column Name,Column Description,Expected/Allowed Values
Name of the column exactly as it appears in the dataset.,"A brief, plain-language explanation of what the data in the column means.","Specifies if there is an expected range and/or format of possible values. For example, if the data type is Date & Time, this field will note whether the timestamp is MM/DD/YYYY or MM/YYYY. If the Column Name is ice cream, this field might note that values can be Chocolate, Vanilla or Strawberry.
 

 If relevant, this field specifies the unit of measurement of the data field, e.g. thousands, millions, $ value, miles, feet, year, etc."
hh_id,Household ID,
trip_weight,Trip weight,Refer to the survey's User Guide for additional information on using weights.
home_cms_zone,Home CMS zone,"For more information on CMS Survey Zones, click here: https://www1.nyc.gov/html/dot/html/about/citywide-mobility-survey.shtml"
survey_mode,The method in which the survey was taken,"-9998: Missing, non-response
 1: rMove (smartphone app)
 2: rSurvey (online, browser)
 3: Call center
 995: Missing, skip logic"
person_id,Person ID,
person_num,Person number in household,
day_num,Day number,Day number in respondent's recorded travel period
travel_date,Travel date,
travel_date_dow,Travel date day of week,"-9998: Missing, non-response
 1: Monday
 2: Tuesday
 3: Wednesday
 4: Thursday
 5: Friday
 6: Saturday
 7: Sunday
 995: Missing, skip logic"
trip_id,Trip ID,
trip_num,Trip number,
leg_num,Trip leg number,
unlinked_trip,Trip was unlinked in data processing,"-9998: Missing: Non-response
 0: No
 1: Yes
 995: Missing: Skip logic"
linked_trip_num,Linked trip number,
survey_complete,Trip survey completion status,"-9998: Missing: Non-response
 0: No
 1: Yes
 995: Missing: Skip logic"
depart_time,Time departed from origin (EST),EST- Eastern Standard Time
arrive_time,Time arrived at destination (EST),EST- Eastern Standard Time
o_cms_zone,Origin CMS zone,CMS zone where trip started
d_cms_zone,Destination CMS zone,CMS zone where trip ended
trip_duration,Trip duration (minutes),
trip_distance,Trip distance (miles),
o_purpose,Origin purpose (recommend using imputed purpose),"-9998: Missing: Non-response
 1: Go home
 10: Primary workplace
 11: A work-related place (e.g. meeting, delivery)
 12: Travel for work (e.g. going to airport)
 13: Volunteering
 14: Other work-related
 20: Daycare or preschool
 21: K-12 school
 22: College/university
 24: Other education-related
 33: Appointment/shopping/errands
 40: To/from childcare/preschool/babysitter
 41: To/from k-12 school or college
 42: To/from other persons workplace
 43: To/from other person's scheduled activity (e.g., lesson, appointment)
 44: Other place to pick-up/drop-off
 50: Dine out/get coffee or take-out
 51: Exercise (e.g. gym, job, bike, walk dog)
 60: Change/transfer travel mode (e.g. wait for bus, change planes)
 63: Social/religious/leisure activity
 100: To/from other person's home
 111: Other (Unknown)
 995: Missing: Skip logic
 997: Other"
o_purpose_category,Origin purpose category (recommend using imputed purpose),"-9998: Missing: Non-response
 1: Home
 2: Work
 3: Work-related
 4: School
 5: Escort
 6: Shop
 7: Meal
 8: Social/Recreation
 9: Errand/Other
 10: Change mode
 11: Other (Unknown)
 995: Missing: Skip logic"
